datetime,NH4 Trescon,NOx Trescon
10.10.19 21:20:07,35.43,2.75
10.10.19 21:25:04,35.43,2.75
10.10.19 21:30:01,35.43,2.75
10.10.19 21:35:09,,2.73
10.10.19 21:40:06,34.96,2.73
10.10.19 21:45:03,34.96,2.73
10.10.19 21:50:00,34.96,2.73
10.10.19 21:55:07,34.96,2.73
10.10.19 22:00:04,34.96,2.73
10.10.19 22:05:02,,2.79
10.10.19 22:10:09,34.35,2.79
10.10.19 22:15:06,34.35,2.79
10.10.19 22:20:03,34.35,2.79
10.10.19 22:25:00,34.35,2.79
10.10.19 22:30:07,34.35,2.79
10.10.19 22:35:05,,2.8
10.10.19 22:40:02,34.89,2.8
10.10.19 22:45:09,34.89,2.8
10.10.19 22:50:06,34.89,2.8
10.10.19 22:55:03,34.89,2.8
10.10.19 23:00:00,34.89,2.8
10.10.19 23:05:07,,2.77
10.10.19 23:10:05,34.46,2.77
10.10.19 23:15:02,34.46,2.77
10.10.19 23:20:09,34.46,2.77
10.10.19 23:25:06,34.46,2.77
10.10.19 23:30:03,34.46,2.77
10.10.19 23:35:01,,2.81
10.10.19 23:40:08,34.36,2.81
10.10.19 23:45:05,34.36,2.81
10.10.19 23:50:02,34.36,2.81
10.10.19 23:55:09,34.36,2.81
11.10.19 00:00:06,34.36,2.81
11.10.19 00:05:04,,2.85
11.10.19 00:10:01,34.48,2.85
11.10.19 00:15:08,34.48,2.85
11.10.19 00:20:06,34.48,2.85
11.10.19 00:25:03,34.48,2.85
11.10.19 00:30:00,34.48,2.85
11.10.19 00:35:08,,2.74
11.10.19 00:40:05,34.94,2.74
11.10.19 00:45:02,34.94,2.74
11.10.19 00:50:09,34.94,2.74
11.10.19 00:55:06,34.94,2.74
11.10.19 01:00:03,34.94,2.74
11.10.19 01:05:01,,2.75
11.10.19 01:10:08,34.7,2.75
11.10.19 01:15:05,34.7,2.75
11.10.19 01:20:02,34.7,2.75
11.10.19 01:25:09,34.7,2.75
11.10.19 01:30:06,34.7,2.75
11.10.19 01:35:04,,2.77
11.10.19 01:40:01,33.94,2.77
11.10.19 01:45:08,33.94,2.77
11.10.19 01:50:06,33.94,2.77
11.10.19 01:55:03,33.94,2.77
11.10.19 02:00:00,33.94,2.77
11.10.19 02:05:08,,2.74
11.10.19 02:10:05,34.24,2.74
11.10.19 02:15:02,34.24,2.74
11.10.19 02:20:09,34.24,2.74
11.10.19 02:25:06,34.24,2.74
11.10.19 02:30:03,34.24,2.74
11.10.19 02:35:01,,2.73
11.10.19 02:40:09,34.48,2.73
11.10.19 02:45:06,34.48,2.73
11.10.19 02:50:03,34.48,2.73
11.10.19 02:55:00,34.48,2.73
11.10.19 03:00:07,34.48,2.73
11.10.19 03:05:05,,2.78
11.10.19 03:10:02,34.17,2.78
11.10.19 03:15:09,34.17,2.78
11.10.19 03:20:06,34.17,2.78
11.10.19 03:25:03,34.17,2.78
11.10.19 03:30:00,34.17,2.78
11.10.19 03:35:08,,2.81
11.10.19 03:40:05,34.6,2.81
11.10.19 03:45:02,34.6,2.81
11.10.19 03:50:09,34.6,2.81
11.10.19 03:55:06,34.6,2.81
11.10.19 04:00:03,34.6,2.81
11.10.19 04:05:01,,2.81
11.10.19 04:10:08,34.19,2.81
11.10.19 04:15:05,34.19,2.81
11.10.19 04:20:02,34.19,2.81
11.10.19 04:25:09,34.19,2.81
11.10.19 04:30:06,34.19,2.81
11.10.19 04:35:04,,2.81
11.10.19 04:40:01,33.79,2.81
11.10.19 04:45:08,33.79,2.81
11.10.19 04:50:05,33.79,2.81
11.10.19 04:55:02,33.79,2.81
11.10.19 05:00:00,33.79,2.81
11.10.19 05:05:07,,2.82
11.10.19 05:10:05,34.12,2.82
11.10.19 05:15:02,34.12,2.82
11.10.19 05:20:09,34.12,2.82
11.10.19 05:25:06,34.12,2.82
11.10.19 05:30:03,34.12,2.82
11.10.19 05:35:01,,2.81
11.10.19 05:40:08,34.01,2.81
11.10.19 05:45:05,34.01,2.81
11.10.19 05:50:02,34.01,2.81
11.10.19 05:55:09,34.01,2.81
11.10.19 06:00:06,34.01,2.81
11.10.19 06:05:04,,2.87
11.10.19 06:10:01,34.19,2.87
11.10.19 06:15:08,34.19,2.87
11.10.19 06:20:05,34.19,2.87
11.10.19 06:25:02,34.19,2.87
11.10.19 06:30:09,34.19,2.87
11.10.19 06:35:07,,2.87
11.10.19 06:40:04,33.82,2.87
11.10.19 06:45:01,33.82,2.87
11.10.19 06:50:08,33.82,2.87
11.10.19 06:55:05,33.82,2.87
11.10.19 07:00:02,33.82,2.87
11.10.19 07:05:09,,
11.10.19 07:10:06,,
11.10.19 07:15:03,,
11.10.19 07:20:00,,
11.10.19 07:25:08,,1.22
11.10.19 07:30:05,,1.22
11.10.19 07:35:03,,2.23
11.10.19 07:40:00,24.66,2.23
11.10.19 07:45:07,24.66,2.23
11.10.19 07:50:04,24.66,2.23
11.10.19 07:55:02,24.66,2.23
11.10.19 08:00:09,24.66,2.23
11.10.19 08:05:07,,2.5
11.10.19 08:10:04,25.12,2.5
11.10.19 08:15:01,25.12,2.5
11.10.19 08:20:08,25.12,2.5
11.10.19 08:25:05,25.12,2.5
11.10.19 08:30:02,25.12,2.5
11.10.19 08:35:01,,2.54
11.10.19 08:40:08,25.13,2.54
11.10.19 08:45:05,25.13,2.54
11.10.19 08:50:02,25.13,2.54
11.10.19 08:55:09,25.13,2.54
11.10.19 09:00:06,25.13,2.54
11.10.19 09:05:04,,2.62
11.10.19 09:10:01,25.35,2.62
11.10.19 09:15:08,25.35,2.62
11.10.19 09:20:05,25.35,2.62
11.10.19 09:25:02,25.35,2.62
11.10.19 09:30:09,25.35,2.62
11.10.19 09:35:07,,2.64
11.10.19 09:40:04,25.49,2.64
11.10.19 09:45:01,25.49,2.64
11.10.19 09:50:08,25.49,2.64
11.10.19 09:55:06,25.49,2.64
11.10.19 10:00:03,25.49,2.64
11.10.19 10:05:01,,2.6
11.10.19 10:10:08,25.96,2.6
11.10.19 10:15:05,25.96,2.6
11.10.19 10:20:02,25.96,2.6
11.10.19 10:25:09,25.96,2.6
11.10.19 10:30:06,25.96,2.6
11.10.19 10:35:05,,2.63
11.10.19 10:40:02,27.12,2.63
11.10.19 10:45:09,27.12,2.63
11.10.19 10:50:06,27.12,2.63
11.10.19 10:55:03,27.12,2.63
11.10.19 11:00:00,27.12,2.63
11.10.19 11:05:09,,2.76
11.10.19 11:10:06,27.97,2.76
11.10.19 11:15:04,27.97,2.76
11.10.19 11:20:01,27.97,2.76
11.10.19 11:25:08,27.97,0.62
11.10.19 11:30:05,27.97,0.62
